2025-09-12 18:10:50 | INFO     | [fce6525f] | app.component.pipeline_executor_optimized:_setup_logging:847 - 实例 fce6525f 日志配置完成 - 控制台输出 + 文件输出: /Users/a1-6/Desktop/PycharmProjects/chain-parser/chain-data-parser/logs/pipeline_1757560167_20250912_181049.log
2025-09-12 18:10:50 | INFO     | [fce6525f] | app.component.pipeline_executor_optimized:__init__:732 - 从配置字典加载管道配置 - aavev3
2025-09-12 18:10:50 | INFO     | [fce6525f] | app.component.pipeline_executor_optimized:_validate_config:776 - 配置验证通过: 4 个组件
2025-09-12 18:10:50 | INFO     | [fce6525f] | app.component.pipeline_executor_optimized:__init__:741 - 优化版区块链数据管道初始化完成 - aavev3
2025-09-12 18:10:50 | INFO     | [fce6525f] | app.component.pipeline_executor_optimized:__init__:743 - 日志输出路径: logs/pipeline_1757560167_20250912_181049.log
2025-09-12 18:10:50 | INFO     | [fce6525f] | app.component.pipeline_executor_optimized:execute_pipeline:950 - 开始执行优化版管道: aavev3
2025-09-12 18:10:50 | WARNING  | [global] | app.component.pipeline_executor_optimized:_load_abi_file:152 - ABI文件不存在: /Users/a1-6/Desktop/PycharmProjects/chain-parser/chain-data-parser/abi_id:18
2025-09-12 18:10:52 | INFO     | [global] | app.services.evm_parser:get_web3:29 - 成功连接到 ethereum 网络
2025-09-12 18:10:52 | INFO     | [global] | app.component.event_monitor:__init__:46 - 事件监控器已初始化 - 链: ethereum, 合约: 0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2
2025-09-12 18:10:52 | INFO     | [global] | app.component.pipeline_executor_optimized:initialize:122 - 事件监控器初始化成功: 0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2
2025-09-12 18:10:52 | INFO     | [fce6525f] | app.component.pipeline_executor_optimized:_initialize_components:887 - 组件初始化成功: step1 (event_monitor)
2025-09-12 18:10:52 | WARNING  | [global] | app.component.pipeline_executor_optimized:_load_abi_file:426 - ABI文件不存在: /Users/a1-6/Desktop/PycharmProjects/chain-parser/chain-data-parser/ERC20_17.json
2025-09-12 18:10:52 | ERROR    | [global] | app.component.pipeline_executor_optimized:initialize:236 - 合约调用器初始化失败: when sending a str, it must be a hex string. Got: '{args.reserve}'
2025-09-12 18:10:52 | ERROR    | [global] | app.component.pipeline_executor_optimized:_initialize_components:889 - 组件初始化失败: step2 (contract_caller)
2025-09-12 18:10:52 | INFO     | [global] | app.component.dict_mapper:__init__:29 - 字典映射器初始化完成 - 规则数量: 15
2025-09-12 18:10:52 | INFO     | [global] | app.component.dict_mapper:__init__:29 - 字典映射器初始化完成 - 规则数量: 13
2025-09-12 18:10:52 | INFO     | [global] | app.component.dict_mapper:__init__:29 - 字典映射器初始化完成 - 规则数量: 12
2025-09-12 18:10:52 | INFO     | [global] | app.component.dict_mapper:__init__:29 - 字典映射器初始化完成 - 规则数量: 13
2025-09-12 18:10:52 | INFO     | [global] | app.component.pipeline_executor_optimized:initialize:546 - 字典映射器初始化成功: 创建了 4 个映射器
2025-09-12 18:10:52 | INFO     | [fce6525f] | app.component.pipeline_executor_optimized:_initialize_components:887 - 组件初始化成功: step3 (dict_mapper)
2025-09-12 18:10:52 | INFO     | [global] | app.component.kafka_client:__init__:32 - Kafka客户端初始化 - 服务器: ['localhost:9092']
2025-09-12 18:10:52 | INFO     | [global] | app.component.kafka_client:init_producer:76 - Kafka生产者初始化成功
2025-09-12 18:10:52 | INFO     | [global] | app.component.pipeline_executor_optimized:initialize:632 - Kafka生产者初始化成功: localhost:9092
2025-09-12 18:10:52 | INFO     | [fce6525f] | app.component.pipeline_executor_optimized:_initialize_components:887 - 组件初始化成功: step4 (kafka_producer)
2025-09-12 18:10:52 | INFO     | [global] | app.component.pipeline_executor_optimized:execute:132 - 启动事件监控...
2025-09-12 18:10:52 | INFO     | [global] | app.component.event_monitor:start_monitoring:195 - 开始监控合约事件 - 0x87870Bca3F3fD6335C3F4ce8392D69350B4fA4E2
2025-09-12 18:10:52 | INFO     | [global] | app.component.event_monitor:start_monitoring:206 - 从区块 23346297 开始监控
2025-09-12 18:10:52 | INFO     | [global] | app.component.event_monitor:_realtime_monitoring:219 - 启动实时监控模式
2025-09-12 18:10:53 | ERROR    | [global] | app.component.event_monitor:_realtime_monitoring:239 - 实时监控出错: ('The abi for this contract contains no event definitions. ', 'Are you sure you provided the correct contract abi?')
2025-09-12 18:10:58 | ERROR    | [global] | app.component.event_monitor:_realtime_monitoring:239 - 实时监控出错: ('The abi for this contract contains no event definitions. ', 'Are you sure you provided the correct contract abi?')
2025-09-12 18:11:03 | ERROR    | [global] | app.component.event_monitor:_realtime_monitoring:239 - 实时监控出错: ('The abi for this contract contains no event definitions. ', 'Are you sure you provided the correct contract abi?')
2025-09-12 18:11:07 | INFO     | [global] | app.services.pipeline_config_service:get_task_log:663 - 读取任务日志成功: task_id=63, log_path=/Users/a1-6/Desktop/PycharmProjects/chain-parser/chain-data-parser/logs/pipeline_1757560167_20250912_181049.log, returned_lines=31
2025-09-12 18:11:09 | ERROR    | [global] | app.component.event_monitor:_realtime_monitoring:239 - 实时监控出错: ('The abi for this contract contains no event definitions. ', 'Are you sure you provided the correct contract abi?')
2025-09-12 18:11:10 | INFO     | [global] | app.services.pipeline_config_service:get_task_log:663 - 读取任务日志成功: task_id=63, log_path=/Users/a1-6/Desktop/PycharmProjects/chain-parser/chain-data-parser/logs/pipeline_1757560167_20250912_181049.log, returned_lines=33
2025-09-12 18:11:13 | INFO     | [global] | app.services.pipeline_config_service:get_task_log:663 - 读取任务日志成功: task_id=63, log_path=/Users/a1-6/Desktop/PycharmProjects/chain-parser/chain-data-parser/logs/pipeline_1757560167_20250912_181049.log, returned_lines=34
2025-09-12 18:11:14 | ERROR    | [global] | app.component.event_monitor:_realtime_monitoring:239 - 实时监控出错: ('The abi for this contract contains no event definitions. ', 'Are you sure you provided the correct contract abi?')
2025-09-12 18:11:16 | INFO     | [global] | app.services.pipeline_config_service:get_task_log:663 - 读取任务日志成功: task_id=63, log_path=/Users/a1-6/Desktop/PycharmProjects/chain-parser/chain-data-parser/logs/pipeline_1757560167_20250912_181049.log, returned_lines=36
2025-09-12 18:11:19 | INFO     | [global] | app.services.pipeline_config_service:get_task_log:663 - 读取任务日志成功: task_id=63, log_path=/Users/a1-6/Desktop/PycharmProjects/chain-parser/chain-data-parser/logs/pipeline_1757560167_20250912_181049.log, returned_lines=37
2025-09-12 18:11:20 | ERROR    | [global] | app.component.event_monitor:_realtime_monitoring:239 - 实时监控出错: ('The abi for this contract contains no event definitions. ', 'Are you sure you provided the correct contract abi?')
2025-09-12 18:11:22 | INFO     | [global] | app.services.pipeline_config_service:get_task_log:663 - 读取任务日志成功: task_id=63, log_path=/Users/a1-6/Desktop/PycharmProjects/chain-parser/chain-data-parser/logs/pipeline_1757560167_20250912_181049.log, returned_lines=39
2025-09-12 18:11:25 | ERROR    | [global] | app.component.event_monitor:_realtime_monitoring:239 - 实时监控出错: ('The abi for this contract contains no event definitions. ', 'Are you sure you provided the correct contract abi?')
2025-09-12 18:11:25 | INFO     | [global] | app.services.pipeline_config_service:get_task_log:663 - 读取任务日志成功: task_id=63, log_path=/Users/a1-6/Desktop/PycharmProjects/chain-parser/chain-data-parser/logs/pipeline_1757560167_20250912_181049.log, returned_lines=41
