2025-09-12 18:19:51 | INFO     | [44b4b45d] | app.component.pipeline_executor_optimized:_setup_logging:944 - 实例 44b4b45d 日志配置完成 - 控制台输出 + 文件输出: /Users/a1-6/Desktop/PycharmProjects/chain-parser/chain-data-parser/logs/pipeline_1757560167_20250912_181950.log
2025-09-12 18:19:51 | INFO     | [44b4b45d] | app.component.pipeline_executor_optimized:__init__:829 - 从配置字典加载管道配置 - aavev3
2025-09-12 18:19:51 | INFO     | [44b4b45d] | app.component.pipeline_executor_optimized:_validate_config:873 - 配置验证通过: 4 个组件
2025-09-12 18:19:51 | INFO     | [44b4b45d] | app.component.pipeline_executor_optimized:__init__:838 - 优化版区块链数据管道初始化完成 - aavev3
2025-09-12 18:19:51 | INFO     | [44b4b45d] | app.component.pipeline_executor_optimized:__init__:840 - 日志输出路径: logs/pipeline_1757560167_20250912_181950.log
2025-09-12 18:19:51 | INFO     | [44b4b45d] | app.component.pipeline_executor_optimized:execute_pipeline:1047 - 开始执行优化版管道: aavev3
2025-09-12 18:19:51 | ERROR    | [global] | app.component.pipeline_executor_optimized:_load_abi_from_database:214 - 从数据库加载ABI失败 (ID: 18): 'DatabaseService' object has no attribute 'get_sync_session'
2025-09-12 18:19:53 | INFO     | [global] | app.services.evm_parser:get_web3:29 - 成功连接到 ethereum 网络
2025-09-12 18:19:53 | INFO     | [global] | app.component.event_monitor:__init__:46 - 事件监控器已初始化 - 链: ethereum, 合约: 0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2
2025-09-12 18:19:53 | INFO     | [global] | app.component.pipeline_executor_optimized:initialize:131 - 事件监控器初始化成功: 0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2
2025-09-12 18:19:53 | INFO     | [44b4b45d] | app.component.pipeline_executor_optimized:_initialize_components:984 - 组件初始化成功: step1 (event_monitor)
2025-09-12 18:19:53 | WARNING  | [global] | app.component.pipeline_executor_optimized:_load_abi_file:490 - ABI文件不存在: /Users/a1-6/Desktop/PycharmProjects/chain-parser/chain-data-parser/ERC20_17.json
