2025-08-28 17:27:10 | INFO     | [905854a4] | app.component.pipeline_executor_optimized:_setup_logging:695 - 实例 905854a4 日志配置完成 - 控制台输出 + 文件输出: /Users/a1-6/Desktop/PycharmProjects/chain-data-parser/logs/pipeline_3006_20250828_172705.log
2025-08-28 17:27:10 | INFO     | [905854a4] | app.component.pipeline_executor_optimized:__init__:580 - 从配置字典加载管道配置 - USDT
2025-08-28 17:27:10 | INFO     | [905854a4] | app.component.pipeline_executor_optimized:_validate_config:624 - 配置验证通过: 3 个组件
2025-08-28 17:27:10 | INFO     | [905854a4] | app.component.pipeline_executor_optimized:__init__:589 - 优化版区块链数据管道初始化完成 - USDT
2025-08-28 17:27:10 | INFO     | [905854a4] | app.component.pipeline_executor_optimized:__init__:591 - 日志输出路径: logs/pipeline_3006_20250828_172705.log
2025-08-28 17:27:13 | INFO     | [905854a4] | app.component.pipeline_executor_optimized:execute_pipeline:798 - 开始执行优化版管道: USDT
2025-08-28 17:27:13 | WARNING  | [global] | app.component.pipeline_executor_optimized:_load_abi_file:152 - ABI文件不存在: /Users/a1-6/Desktop/PycharmProjects/chain-data-parser/app/erc20_20250827_161207_3c67cc8b.json
2025-08-28 17:27:14 | INFO     | [global] | app.services.evm_parser:get_web3:29 - 成功连接到 ethereum 网络
2025-08-28 17:27:14 | INFO     | [global] | app.component.event_monitor:__init__:45 - 事件监控器已初始化 - 链: ethereum, 合约: 0xdac17f958d2ee523a2206206994597c13d831ec7
2025-08-28 17:27:14 | INFO     | [global] | app.component.pipeline_executor_optimized:initialize:122 - 事件监控器初始化成功: 0xdac17f958d2ee523a2206206994597c13d831ec7
2025-08-28 17:27:14 | INFO     | [905854a4] | app.component.pipeline_executor_optimized:_initialize_components:735 - 组件初始化成功: step1 (event_monitor)
2025-08-28 17:27:14 | INFO     | [global] | app.component.dict_mapper:__init__:29 - 字典映射器初始化完成 - 规则数量: 10
2025-08-28 17:27:14 | INFO     | [global] | app.component.dict_mapper:__init__:29 - 字典映射器初始化完成 - 规则数量: 10
2025-08-28 17:27:14 | INFO     | [global] | app.component.dict_mapper:__init__:29 - 字典映射器初始化完成 - 规则数量: 10
2025-08-28 17:27:14 | INFO     | [global] | app.component.pipeline_executor_optimized:initialize:404 - 字典映射器初始化成功: 创建了 3 个映射器
2025-08-28 17:27:14 | INFO     | [905854a4] | app.component.pipeline_executor_optimized:_initialize_components:735 - 组件初始化成功: step2 (dict_mapper)
2025-08-28 17:27:14 | INFO     | [global] | app.component.kafka_client:__init__:32 - Kafka客户端初始化 - 服务器: ['localhost:9092']
2025-08-28 17:27:14 | INFO     | [global] | app.component.kafka_client:init_producer:76 - Kafka生产者初始化成功
2025-08-28 17:27:14 | INFO     | [global] | app.component.pipeline_executor_optimized:initialize:489 - Kafka生产者初始化成功: localhost:9092
2025-08-28 17:27:14 | INFO     | [905854a4] | app.component.pipeline_executor_optimized:_initialize_components:735 - 组件初始化成功: step3 (kafka_producer)
2025-08-28 17:27:14 | INFO     | [global] | app.component.pipeline_executor_optimized:execute:132 - 启动事件监控...
2025-08-28 17:27:14 | INFO     | [global] | app.component.event_monitor:start_monitoring:194 - 开始监控合约事件 - 0xdAC17F958D2ee523a2206206994597C13D831ec7
2025-08-28 17:27:14 | INFO     | [global] | app.component.event_monitor:start_monitoring:205 - 从区块 23238715 开始监控
2025-08-28 17:27:14 | INFO     | [global] | app.component.event_monitor:_realtime_monitoring:218 - 启动实时监控模式
2025-08-28 17:27:15 | ERROR    | [global] | app.component.event_monitor:_realtime_monitoring:238 - 实时监控出错: ('The abi for this contract contains no event definitions. ', 'Are you sure you provided the correct contract abi?')
2025-08-28 17:27:20 | ERROR    | [global] | app.component.event_monitor:_realtime_monitoring:238 - 实时监控出错: ('The abi for this contract contains no event definitions. ', 'Are you sure you provided the correct contract abi?')
2025-08-28 17:27:25 | ERROR    | [global] | app.component.event_monitor:_realtime_monitoring:238 - 实时监控出错: ('The abi for this contract contains no event definitions. ', 'Are you sure you provided the correct contract abi?')
2025-08-28 17:27:31 | ERROR    | [global] | app.component.event_monitor:_realtime_monitoring:238 - 实时监控出错: ('The abi for this contract contains no event definitions. ', 'Are you sure you provided the correct contract abi?')
2025-08-28 17:27:36 | ERROR    | [global] | app.component.event_monitor:_realtime_monitoring:238 - 实时监控出错: ('The abi for this contract contains no event definitions. ', 'Are you sure you provided the correct contract abi?')
2025-08-28 17:27:41 | ERROR    | [global] | app.component.event_monitor:_realtime_monitoring:238 - 实时监控出错: ('The abi for this contract contains no event definitions. ', 'Are you sure you provided the correct contract abi?')
2025-08-28 17:27:47 | ERROR    | [global] | app.component.event_monitor:_realtime_monitoring:238 - 实时监控出错: ('The abi for this contract contains no event definitions. ', 'Are you sure you provided the correct contract abi?')
2025-08-28 17:27:52 | ERROR    | [global] | app.component.event_monitor:_realtime_monitoring:238 - 实时监控出错: ('The abi for this contract contains no event definitions. ', 'Are you sure you provided the correct contract abi?')
2025-08-28 17:27:57 | ERROR    | [global] | app.component.event_monitor:_realtime_monitoring:238 - 实时监控出错: ('The abi for this contract contains no event definitions. ', 'Are you sure you provided the correct contract abi?')
2025-08-28 17:28:03 | ERROR    | [global] | app.component.event_monitor:_realtime_monitoring:238 - 实时监控出错: ('The abi for this contract contains no event definitions. ', 'Are you sure you provided the correct contract abi?')
