2025-08-27 18:16:39 | INFO     | [74397a2f] | app.component.pipeline_executor:_setup_logging:151 - 实例 74397a2f 日志配置完成 - 控制台输出 + 文件输出: /Users/qmk/Documents/code/chain-data-parser/logs/pipeline_6_20250827_181638.log
2025-08-27 18:16:39 | INFO     | [global] | app.component.pipeline_executor:__init__:56 - 从配置字典加载管道配置 - usdc_transfer_monitor
2025-08-27 18:16:39 | INFO     | [global] | app.component.pipeline_executor:__init__:62 - 区块链数据管道初始化完成 - usdc_transfer_monitor
2025-08-27 18:16:39 | INFO     | [global] | app.component.pipeline_executor:__init__:64 - 日志输出路径: logs/pipeline_6_20250827_181638.log
2025-08-27 18:16:39 | ERROR    | [global] | app.component.pipeline_executor:_load_abi_file:234 - ABI文件加载失败: ../abis/erc20.json, 错误: argument should be a str or an os.PathLike object where __fspath__ returns a str, not 'NoneType'
2025-08-27 18:16:42 | INFO     | [global] | app.services.evm_parser:get_web3:29 - 成功连接到 ethereum 网络
2025-08-27 18:16:42 | INFO     | [global] | app.component.contract_caller:__init__:41 - 合约方法调用器已初始化 - 链: ethereum, 合约: 0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48
2025-08-27 18:16:42 | ERROR    | [global] | app.component.pipeline_executor:_load_abi_file:234 - ABI文件加载失败: ../abis/erc20.json, 错误: argument should be a str or an os.PathLike object where __fspath__ returns a str, not 'NoneType'
2025-08-27 18:16:42 | INFO     | [global] | app.component.contract_caller:__init__:41 - 合约方法调用器已初始化 - 链: ethereum, 合约: 0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48
2025-08-27 18:16:42 | INFO     | [global] | app.component.dict_mapper:__init__:29 - 字典映射器初始化完成 - 规则数量: 0
2025-08-27 18:16:42 | INFO     | [global] | app.component.kafka_client:__init__:32 - Kafka客户端初始化 - 服务器: ['localhost:9092']
2025-08-27 18:16:44 | ERROR    | [global] | app.component.kafka_client:init_producer:79 - Kafka生产者初始化失败: NoBrokersAvailable
2025-08-27 18:16:44 | ERROR    | [global] | app.services.pipeline_config_service:_execute_pipeline_async:419 - 管道任务执行失败: task_id=23, 错误: NoBrokersAvailable
2025-08-27 18:16:51 | INFO     | [global] | app.services.pipeline_config_service:get_task_log:558 - 读取任务日志成功: task_id=23, log_path=/Users/qmk/Documents/code/chain-data-parser/logs/pipeline_6_20250827_181638.log, returned_lines=13
2025-08-27 18:16:54 | INFO     | [global] | app.services.pipeline_config_service:get_task_log:558 - 读取任务日志成功: task_id=23, log_path=/Users/qmk/Documents/code/chain-data-parser/logs/pipeline_6_20250827_181638.log, returned_lines=14
2025-08-27 18:16:57 | INFO     | [global] | app.services.pipeline_config_service:get_task_log:558 - 读取任务日志成功: task_id=23, log_path=/Users/qmk/Documents/code/chain-data-parser/logs/pipeline_6_20250827_181638.log, returned_lines=15
2025-08-27 18:17:00 | INFO     | [global] | app.services.pipeline_config_service:get_task_log:558 - 读取任务日志成功: task_id=23, log_path=/Users/qmk/Documents/code/chain-data-parser/logs/pipeline_6_20250827_181638.log, returned_lines=16
2025-08-27 18:17:03 | INFO     | [global] | app.services.pipeline_config_service:get_task_log:558 - 读取任务日志成功: task_id=23, log_path=/Users/qmk/Documents/code/chain-data-parser/logs/pipeline_6_20250827_181638.log, returned_lines=17
2025-08-27 18:17:06 | INFO     | [global] | app.services.pipeline_config_service:get_task_log:558 - 读取任务日志成功: task_id=23, log_path=/Users/qmk/Documents/code/chain-data-parser/logs/pipeline_6_20250827_181638.log, returned_lines=18
2025-08-27 18:17:09 | INFO     | [global] | app.services.pipeline_config_service:get_task_log:558 - 读取任务日志成功: task_id=23, log_path=/Users/qmk/Documents/code/chain-data-parser/logs/pipeline_6_20250827_181638.log, returned_lines=19
2025-08-27 18:17:12 | INFO     | [global] | app.services.pipeline_config_service:get_task_log:558 - 读取任务日志成功: task_id=23, log_path=/Users/qmk/Documents/code/chain-data-parser/logs/pipeline_6_20250827_181638.log, returned_lines=20
